Season,TeamID,adj_o,adj_d,luck,rank,adj_em
2011,1218,100.2,99.5,0.055999999999999994,156,0.5221
2011,1325,104.9,104.5,-0.006,157,0.5114
2011,1148,98.7,98.4,-0.009000000000000001,158,0.5083
2011,1453,101.7,101.4,0.01,159,0.5071
2011,1453,101.7,101.4,0.01,159,0.5071
2011,1453,101.7,101.4,0.01,159,0.5071
2011,1453,101.7,101.4,0.01,159,0.5071
2011,1252,104.7,104.4,0.0,160,0.5064
2011,1201,100.8,100.6,-0.033,161,0.5056
2011,1444,104.2,104.0,0.061,162,0.5039
2011,1444,104.2,104.0,0.061,162,0.5039
2011,1444,104.2,104.0,0.061,162,0.5039
2011,1444,104.2,104.0,0.061,162,0.5039
2011,1203,99.9,99.8,0.07200000000000001,163,0.503
2011,1203,99.9,99.8,0.07200000000000001,163,0.503
2011,1203,99.9,99.8,0.07200000000000001,163,0.503
2011,1203,99.9,99.8,0.07200000000000001,163,0.503
2011,1172,102.0,102.0,-0.027999999999999997,164,0.5005
2011,1142,96.3,96.6,-0.001,165,0.4932
2011,1142,96.3,96.6,-0.001,165,0.4932
2011,1142,96.3,96.6,-0.001,165,0.4932
2011,1142,96.3,96.6,-0.001,165,0.4932
2011,1247,104.2,104.6,0.008,166,0.4884
2011,1247,104.2,104.6,0.008,166,0.4884
2011,1247,104.2,104.6,0.008,166,0.4884
2011,1247,104.2,104.6,0.008,166,0.4884
2011,1395,100.5,100.9,-0.076,167,0.4861
2011,1395,100.5,100.9,-0.076,167,0.4861
2011,1395,100.5,100.9,-0.076,167,0.4861
2011,1395,100.5,100.9,-0.076,167,0.4861
2011,1346,102.6,103.1,0.012,168,0.4859
2011,1451,102.4,103.0,0.012,169,0.4821
2011,1131,102.0,102.7,0.032,170,0.4819
2011,1131,102.0,102.7,0.032,170,0.4819
2011,1131,102.0,102.7,0.032,170,0.4819
2011,1131,102.0,102.7,0.032,170,0.4819
2011,1123,101.4,102.1,0.036000000000000004,171,0.4798
2011,1358,101.6,102.4,-0.031,172,0.4759
2011,1295,102.4,103.5,-0.132,173,0.4695
2011,1145,101.8,102.9,-0.032,174,0.4693
2011,1317,107.2,108.5,0.044000000000000004,175,0.4642
2011,1317,107.2,108.5,0.044000000000000004,175,0.4642
2011,1317,107.2,108.5,0.044000000000000004,175,0.4642
2011,1317,107.2,108.5,0.044000000000000004,175,0.4642
2011,1239,96.4,97.8,0.042,176,0.461
2011,1363,103.2,104.8,0.071,177,0.4548
2011,1259,101.8,103.5,-0.024,178,0.4521
2011,1259,101.8,103.5,-0.024,178,0.4521
2011,1259,101.8,103.5,-0.024,178,0.4521
2011,1259,101.8,103.5,-0.024,178,0.4521
2011,1292,95.5,97.2,-0.071,179,0.4502
2011,1292,95.5,97.2,-0.071,179,0.4502
2011,1292,95.5,97.2,-0.071,179,0.4502
2011,1292,95.5,97.2,-0.071,179,0.4502
2011,1408,100.5,102.3,-0.126,180,0.4496
2011,1236,103.6,105.5,0.025,181,0.4495
2011,1236,103.6,105.5,0.025,181,0.4495
2011,1236,103.6,105.5,0.025,181,0.4495
2011,1236,103.6,105.5,0.025,181,0.4495
2011,1335,100.5,102.5,0.006,182,0.4439
2011,1110,102.0,104.1,0.129,183,0.441
2011,1194,100.1,102.6,0.127,184,0.4283
2011,1194,100.1,102.6,0.127,184,0.4283
2011,1194,100.1,102.6,0.127,184,0.4283
2011,1194,100.1,102.6,0.127,184,0.4283
2011,1441,97.0,99.4,0.042,185,0.4282
2011,1441,97.0,99.4,0.042,185,0.4282
2011,1441,97.0,99.4,0.042,185,0.4282
2011,1441,97.0,99.4,0.042,185,0.4282
2011,1275,102.8,105.6,0.121,186,0.4225
2011,1275,102.8,105.6,0.121,186,0.4225
2011,1275,102.8,105.6,0.121,186,0.4225
2011,1275,102.8,105.6,0.121,186,0.4225
2011,1318,107.4,110.5,0.023,187,0.4186
2011,1191,98.7,101.7,0.047,188,0.4166
2011,1165,103.2,106.3,-0.071,189,0.4158
2011,1463,97.3,100.3,0.032,190,0.4152
2011,1269,95.8,98.7,0.043,191,0.4144
2011,1270,103.7,106.9,0.10400000000000001,192,0.4141
2011,1117,99.0,102.1,0.002,193,0.4121
2011,1386,103.6,106.9,0.013999999999999999,194,0.4104
2011,1250,100.6,104.1,-0.03,195,0.4028
2011,1133,99.6,103.1,-0.034,196,0.4025
2011,1273,99.7,103.2,-0.001,197,0.4012
2011,1440,109.1,113.0,-0.017,198,0.4
2011,1174,98.1,101.6,0.057999999999999996,199,0.3992
2011,1372,95.3,98.9,-0.039,200,0.3946
2011,1258,100.0,104.2,-0.1,201,0.3849
2011,1258,100.0,104.2,-0.1,201,0.3849
